Time,Lat,Long,Bearing,Distance,BearingError,DistanceError,,,,
2019-06-10T00:00:00,50.827190,-1.294042,1.055444792,4669.191461,6,5836.49,,,,
2019-06-10T00:00:01,50.827206,-1.294042,1.066401511,4671.664668,4,5807.31,,,,
2019-06-10T00:00:02,50.827221,-1.294042,1.077346949,4674.138786,2,5801.50,,,,
2019-06-10T00:00:03,50.827237,-1.294042,1.088281121,4676.61381,3,5789.90,,,,
2019-06-10T00:00:04,50.827253,-1.294042,1.099204043,4679.089742,3,5772.53,,,,
2019-06-10T00:00:05,50.827269,-1.294042,1.110115732,4681.566579,3,5784.07,,,,
2019-06-10T00:00:06,50.827284,-1.294042,1.121016203,4684.044321,1,5778.29,,,,
2019-06-10T00:00:07,50.827300,-1.294042,1.131905474,4686.522963,0,5784.07,,,,
2019-06-10T00:00:08,50.827316,-1.294042,1.142783561,4689.002509,0,5778.28,,,,
2019-06-10T00:00:09,50.827332,-1.294042,1.153650478,4691.482953,0,5766.73,,,,
2019-06-10T00:00:10,50.827347,-1.294042,1.164506243,4693.964294,0,5737.89,,,,
2019-06-10T00:00:11,50.827363,-1.294042,1.175350871,4696.446535,1,5709.20,,,,
2019-06-10T00:00:12,50.827379,-1.294042,1.186184379,4698.929671,2,5680.66,,,,
2019-06-10T00:00:13,50.827394,-1.294042,1.197006783,4701.413701,1,5680.66,,,,
2019-06-10T00:00:14,50.827410,-1.294042,1.207818098,4703.898621,2,5692.02,,,,
2019-06-10T00:00:15,50.827426,-1.294042,1.218618341,4706.384435,2,5692.02,,,,
2019-06-10T00:00:16,50.827442,-1.294042,1.229407527,4708.871136,3,5680.63,,,,
2019-06-10T00:00:17,50.827457,-1.294042,1.240185672,4711.358728,3,5686.31,,,,
2019-06-10T00:00:18,50.827473,-1.294042,1.250952792,4713.847205,4,5663.57,,,,
2019-06-10T00:00:19,50.827489,-1.294042,1.261708903,4716.33657,4,5686.22,,,,
2019-06-10T00:00:20,50.827505,-1.294042,1.272454021,4718.826817,3,5708.97,,,,
2019-06-10T00:00:21,50.827520,-1.294042,1.283188162,4721.317948,0,5714.68,,,,
2019-06-10T00:00:22,50.827536,-1.294042,1.293911341,4723.80996,1,5697.53,,,,
2019-06-10T00:00:23,50.827552,-1.294042,1.304623574,4726.302851,0,5703.23,,,,
2019-06-10T00:00:24,50.827567,-1.294042,1.315324877,4728.796621,1,5726.04,,,,
2019-06-10T00:00:25,50.827583,-1.294042,1.326015264,4731.29127,0,5737.50,,,,
2019-06-10T00:00:26,50.827599,-1.294042,1.336694753,4733.786792,1,5760.45,,,,
2019-06-10T00:00:27,50.827615,-1.294042,1.347363359,4736.283191,2,5754.69,,,,
2019-06-10T00:00:28,50.827630,-1.294042,1.358021097,4738.780461,0,5760.44,,,,
2019-06-10T00:00:29,50.827646,-1.294042,1.368667982,4741.278602,0,5754.68,,,,
2019-06-10T00:00:30,50.827662,-1.294042,1.379304031,4743.777616,1,5737.42,,,,
2019-06-10T00:00:31,50.827678,-1.294042,1.389929258,4746.277499,2,5743.15,,,,
2019-06-10T00:00:32,50.827693,-1.294042,1.40054368,4748.778246,0,5760.38,,,,
2019-06-10T00:00:33,50.827709,-1.294042,1.411147311,4751.279862,0,5743.10,,,,
2019-06-10T00:00:34,50.827725,-1.294042,1.421740167,4753.782341,1,5725.87,,,,
2019-06-10T00:00:35,50.827741,-1.294042,1.432322264,4756.285685,0,5737.32,,,,
2019-06-10T00:00:36,50.827756,-1.294042,1.442893616,4758.78989,0,5725.85,,,,
2019-06-10T00:00:37,50.827772,-1.294042,1.45345424,4761.294956,0,5725.85,,,,
2019-06-10T00:00:38,50.827788,-1.294042,1.46400415,4763.800882,0,5731.57,,,,
2019-06-10T00:00:39,50.827803,-1.294042,1.474543361,4766.307665,1,5708.65,,,,
2019-06-10T00:00:40,50.827819,-1.294042,1.48507189,4768.815306,1,5680.11,,,,
